years,value,prev_return,exp_return,Sector,Name,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
2018,60.23141519646896,-0.042418511249086466,0.09802293943303608,Consumer Defensive,CL,FY,17.854353319549737,2.7567195037904892,3.5102228348265565,3.009418791637951,0.833907649896623,-0.1171605789110958,-4.560073512520101,-0.1171605789110958,7.5338846772340915,51818112000,57458112000,21.590880000000002,3.333640761708698,16.956188481675394,19.77790534351145,-508.02070588235296,-508.02070588235296,3.6964817292846113,14.328706234413966,18.801738219895288,21.93057709923664,0.04631585187820042,0.05056147163370213,-62.411764705882355,0.5234766877723871,1.4064837905236909,1.1352888356779407,19.139896373056995,1.2733333333333334,0.030703550140923696,0.6629166666666667,0.3466932578486876,0,0.3426527423731601,-0.14267015706806283,-0.028049408131755018,-0.8532289628180039,0.0070123520329387545,2.6957418629370014,0.43547958346974835,0.3002251688766575,-10.98437858947852,452000000,-3970000000,-8171000000,-62.411764705882355,1440000000,1217000000,1235500000,32.874420998455996,70.65262157452875,72.27150324726755,11.102857142857143,5.166121112929623,5.0504,-23.529411764705884,-0.5008040431886056
2019,66.13547556023849,0.09802293943303608,0.08663399816609019,Consumer Defensive,CL,FY,18.26679082761029,2.755208939587941,3.6468397159818413,3.2568967524153183,1.0278198114305668,0.13618903503666627,-6.538237690606449,0.13618903503666627,18.46467233150972,59140444000,66104444000,24.98540092944656,3.768587523099471,18.87661793807852,21.13668477483917,505.47388034188043,505.47388034188043,4.212352258968967,16.22991505033145,21.099407596552826,23.625605432451753,0.04002337216135882,0.04731110912863624,133.94017094017093,1.0423706265797525,1.7097962190031917,0.3675138510245361,18.510416666666668,1.2398100514444004,0.027290968596718684,0.6818757921419518,0,0,0.41073566582413196,-0.10692626875199489,-0.02134709743197604,-0.6454720616570327,0.0063722678901421016,2.905625243068135,0.16565258014922046,0.2671859126312225,-13.750436503317426,-7192000000,-5617000000,-10297000000,133.94017094017093,1420000000,1229500000,1325000000,33.492640030586884,70.90216708542714,80.24497487437185,10.897916666666667,5.147938561034762,4.548571428571429,20.23076923076923,-0.3899429635665231
2020,71.8650562286377,0.08663399816609019,0.026487275198510574,Consumer Defensive,CL,FY,19.223856209150327,3.145424836601307,4.340569561157796,3.862044817927171,1.0364145658263306,0.8671802054154996,-6.55578898225957,0.8671802054154996,9.556489262371615,73264968000,79977968000,27.185516883116886,4.448118997025074,19.700179618176932,22.14112058023572,98.60695558546433,98.60695558546433,4.855683807904803,18.07820253164557,21.505234740521647,24.169830160169237,0.036784292323720116,0.04516483239302036,10.773889636608345,0.5028266331658291,1.5174050632911393,1.0485859318346629,21.229508196721312,1.3003496503496503,0.022575591652479802,0.6137291280148423,0,0,0.4219849246231156,-0.11024468943264318,-0.02489223483698622,-0.7606679035250464,0.0064962661647744524,7.834036539885811,0.3254610698489527,0.29287111497500545,-14.176587301587302,201000000,-5617000000,-10481000000,10.773889636608345,1352000000,1315000000,1536500000,28.010442596077958,78.77982646420824,94.61496746203903,13.030854430379748,4.633165829145729,3.8577405857740588,3.6271870794078063,-0.4785247432306256
2021,73.76856575012206,0.026487275198510574,0.010438770128652797,Consumer Defensive,CL,FY,20.616568047337278,2.5633136094674556,3.93491124260355,3.263905325443787,0.9846153846153847,0.7207100591715976,-5.650887573964497,0.7207100591715976,9.023668639053254,72112300000,78713300000,33.292843951985226,4.139389242867804,21.687909774436093,26.146591733139957,118.41100164203614,118.41100164203614,4.51829975317146,15.648767395626242,23.67317293233083,28.539992748368384,0.030036484760574824,0.03824590257140599,12.205254515599343,0.4942154255319149,1.3123260437375746,1.09925,23.302083333333332,1.4221556886227544,0.023283129230380947,0.7751615881809788,0,0,0.38204787234042553,-0.1705263157894737,-0.03254692612364388,-1.0197841726618706,0.007749268124677114,6.44721899899326,0.3926386622628967,0.23305358295674627,-13.512721893491124,397000000,-4775000000,-9672000000,12.205254515599343,1280500000,1436000000,1682500000,27.17438723379829,76.61581038887313,87.64973034345728,13.431765612952969,4.764029749830967,4.164302600472813,3.5566502463054186,-0.6710059171597633
2022,74.538618850708,0.010438770128652797,,Consumer Defensive,CL,FY,21.262721893491126,2.1124260355029585,3.0248520710059172,2.201183431952663,0.9171597633136095,0.47455621301775147,-5.285207100591716,0.47455621301775147,10.728994082840236,66577550000.00001,74701550000,37.29834733893558,3.7055462792898095,26.047554773082943,35.79438172043011,166.0288029925187,166.0288029925187,4.157708576835309,15.307694672131147,29.225958528951487,40.16212365591398,0.026810839389553982,0.027937345246257933,22.19201995012469,0.5656983027143856,1.6647540983606557,1.284996230208595,25.95808383233533,1.2994407727503814,0.025398952049151702,0.9473389355742297,0,0,0.3351344479054097,-0.27230046948356806,-0.03873768575722157,-1.2770642201834863,0.0069571993098458285,4.749258915134938,0.3269371158646233,0.17066641170283967,-14.183431952662723,1134000000,-4466000000,-9812000000,22.19201995012469,1400500000,1515000000,1883000000,30.553793065063726,73.34045860862807,98.07099365202747,11.946143617021276,4.97678916827853,3.7217936354869816,4.451371571072319,-0.8236686390532545
2018,32.72787084077534,-0.029756312993999834,0.2918692048346605,Communication Services,CMCSA,FY,20.881083203985046,2.5919348520844867,5.368360847421087,2.7812868398294706,0.84269367708211,15.8227116667229,-21.629874203363986,15.8227116667229,25.471929880023872,154109023874.09998,262038023874.09998,13.136904260003408,1.6306625316018917,6.342718190480306,12.24253446727836,2.151969947832097,2.151969947832097,2.7726837575428274,8.934434309867365,10.78478922805696,20.816493793620907,0.07612143471613765,0.0816824328877965,1.5603731166129056,0.44398134168242714,3.6799413549728937,0.7915081694018766,5.366741953698475,2.0483055134041477,0.02175083532252096,0.2857386412070582,0.29726898536616336,0,0.6822602946552025,-0.4819113470798864,-0.12389558445406161,-1.096759085799925,0.008740093326420265,30.37692135533019,0.08068264126544651,0.14669250969113418,-36.61629966983629,-5755000000,-97896000000,-156018000000,1.5603731166129056,9825000000,7710000000,0,42.88528892039743,104.41566751987067,0,8.511077089337176,3.495643983988698,0,0.16381103989499113,-2.5870740075916165
2019,42.280128479003906,0.2918692048346605,0.005250795733687363,Communication Services,CMCSA,FY,23.927338246731043,2.8677576645147624,5.643928061961848,2.914320016117514,1.2079855368638426,18.169420276836043,-19.306903385093833,18.169420276836043,23.453368648812468,204749967985.65,301466967985.65,15.68124132539251,1.8794401423294045,7.96785492414095,15.430700729945737,2.4750376905162828,2.4750376905162828,2.767224467933855,8.90333632562463,11.731601665005643,22.719644885496272,0.06377046174148905,0.06480587093879284,1.2356091192611753,0.3880469527056269,2.8563792085056114,0.8382411197675954,4.625574775563828,1.9287697965923591,0.018241761094007932,0.28605345791529446,0.3011418920159351,0,0.6573340824709393,-0.48363622212709656,-0.11407905123827358,-0.9594688489153091,0.009371959391235703,34.23994189277263,0.0895393886805324,0.1446550635365543,-36.063639485001104,-4900000000,-87905000000,-152776000000,1.2356091192611753,11198000000,9660000000,0,37.83279176075343,114.73548199767713,0,9.647715196599362,3.181230371328284,0,0.157834296351812,-2.729608045844334
2020,42.50213279724121,0.005250795733687363,0.30199136681292504,Communication Services,CMCSA,FY,22.608987907246053,2.2996705285130927,5.400318004920104,2.860507208572912,2.5629515857930234,19.71835401052668,-18.71893387766804,19.71835401052668,23.653379762989992,240026383412.8,332046383412.8,22.785872737117902,2.3176623480437217,9.703132288183692,18.318429627779896,2.6574226211795446,2.6574226211795446,3.206195042802518,10.802120544350824,13.423065990734527,25.34124882948943,0.043886842147196424,0.054589832224673895,1.1487660950145588,0.37886726865764286,2.9935912033572984,0.9286359216557856,3.812772449869224,2.3116531165311653,0.017248103900644886,0.3930131004366812,0.3196960333706693,0,0.6527317805228047,-0.47030763633423617,-0.11233633308871808,-0.8880916030534352,0.011519446912054383,31.94180091585184,0.06857430695369941,0.11076062498685676,-35.041158727684575,-2055000000,-85745000000,-154110000000,1.1487660950145588,11379000000,11095000000,0,40.4106639372755,125.23353763473325,0,9.032269317983603,2.914554734248504,0,0.11662588709409563,-2.539810796347192
2021,55.33740997314453,0.30199136681292504,-0.4070447069115154,Communication Services,CMCSA,FY,25.673745134491927,3.1233797942971275,6.429410797696453,3.7697180100814753,1.9215877807841144,21.197246358754118,-17.1910523871297,21.197246358754118,21.867629238538637,228157482257.25,314296482257.25,16.11395453473056,1.9603684517528033,7.828089009032114,13.3511312690766,2.3743650070479334,2.3743650070479334,2.7004896013854878,8.53162361240126,10.783520286051258,18.391742188381414,0.06205801300014162,0.07490002006917297,0.9870748865670399,0.3437777495877204,2.338255652976465,0.8452705465449094,4.862648913805185,2.1069905298922866,0.019863473050119488,0.32007910163147113,0.306044593375435,0,0.6376832605425781,-0.41367597612022233,-0.10359582420415002,-0.873442480440452,0.011298706878034111,38.596096264552415,0.078993303022381,0.1416395738508478,-35.334405824614706,-4541000000,-77931000000,-153089000000,0.9870748865670399,11737000000,11909500000,0,37.65880482880096,118.2334200260078,0,9.692288474350432,3.0871136089923725,0,0.14734837447446197,-2.6596927876149774
2022,32.812610149383545,-0.4070447069115154,,Communication Services,CMCSA,FY,28.773356561946294,1.2724758475269222,6.258827664940148,2.996597684883698,1.1253236126453172,19.180263040292676,-18.40919480791789,19.180263040292676,23.38962262231656,147577575138.24,237639575138.24,27.481857567642457,1.2153604646268128,5.587308338251619,11.66990156082872,1.8232283846440087,1.8232283846440087,1.9570571218776713,6.618749307549019,8.997068683536137,18.79167919802625,0.03638764219407842,0.08569052573301969,1.171330442410091,0.3685200660771548,2.5084113190730837,0.7826585864381252,5.66812114989733,5.363045685279188,0.032125477028328825,0.8828677839851025,0,0,0.6208415120007774,-0.5212206110627342,-0.11337676134632331,-0.9960929021054916,0.011002495326410107,23.43383201761246,0.06665365320530929,0.055049821626276293,-38.146788051820124,-6061000000,-77689000000,-153411000000,1.171330442410091,12340000000,12499500000,0,38.091034119265075,119.81681626671552,0,9.58230744949495,3.0463169642857144,0,0.06634298209851378,-3.2622299800564507
2018,75.84183421887849,0.36175019676944875,-0.293332639290674,Financial Services,CMA,FY,19.826960086691,7.357660969670488,9.62751427286438,9.09132845321228,99.73056245529067,44.72385497920353,40.91693565967361,44.72385497920353,40.35691935914809,11529771533.33,13475771533.33,9.335847395408907,3.464474619390024,7.134759612209158,7.555551463519004,1.5358693930105234,1.5358693930105234,4.049210196313101,7.011327540754422,8.338967533001238,8.83078082131717,0.10711400450823247,0.13235301285794554,0.8667909950712668,0.09188341946962636,1.012486992715921,0,0,1.308502024291498,0.022810512700943433,0.21295546558704453,0.31580528846153844,0,0.009023129712784884,-0.055693069306930694,-0.027043269230769232,-0.75,0.014423076923076924,86.04601472095032,0,0.01759785690876188,-259.69117591311266,0,6868000000,-63311000000,0.8667909950712668,4142500000,0,0,435.9600360576923,0,0,0.8372327044025157,0,0,0.1645131210869855,-0.5361858196521003
2019,53.59494881880911,-0.293332639290674,-0.35226574308527236,Financial Services,CMA,FY,22.286666666666665,7.986666666666666,7.266666666666667,6.693333333333333,122.47333333333333,48.846666666666664,44.6,48.846666666666664,52.053333333333335,10762500000,12284500000,8.983722871452422,3.2194137002692194,9.873853211009175,10.719621513944222,1.4688822164596698,1.4688822164596698,3.674693389171403,5.811021759697256,11.270183486238532,12.235557768924302,0.11131242740998838,0.09328687572590012,1.0017742595878258,0.09999727527860276,0.7199621570482497,335.22535211267603,4.273504273504273,0.9098497495826378,0.037351916376306624,0.335559265442404,0.3119952138797487,0,0.008678237650200267,-0.07889908256880734,-0.02572539635058331,-0.7543859649122807,0.011666168112473826,93.68962589315852,0.10663180394131798,0.01646395932110218,-290.87666666666667,23730000000,6690000000,-42274000000,1.0017742595878258,4702500000,0,0,592.8656895004488,0,0,0.6156537753222836,0,0,0.16350484509348984,-0.5733333333333334
2020,34.71528434753418,-0.35226574308527236,0.9846570429541941,Financial Services,CMA,FY,20.949640287769785,3.4100719424460433,6.676258992805756,6.107913669064748,222.7841726618705,57.9136690647482,588.2374100719425,57.9136690647482,42.51798561151079,7764540000,-2274460000,16.380886075949366,2.6663942307692308,8.366961206896551,9.145512367491166,0.9645391304347827,0.9645391304347827,-0.7810645604395604,-2.5816799091940976,-2.450926724137931,-2.6789870435806833,0.061046758726209155,0.10934324506023538,0.711552795031056,0.06499563140396464,-11.3950056753689,0,4.247252747252747,1.9578059071729959,0.04932681137581879,0.8080168776371308,0.36126373626373626,0,0.00721669371035641,-0.08512931034482758,-0.02712912087912088,-0.7314814814814815,0.008241758241758242,66.65973300382002,0.044997063662883446,0.005417576263243917,213.70143884892087,36921000000,81765000000,31193000000,0.711552795031056,5692000000,0,0,746.2946428571428,0,0,0.4890829694323144,0,0,0.05888198757763975,-0.5683453237410072
2021,68.8979335784912,0.9846570429541941,0.09160234874799067,Financial Services,CMA,FY,21.977777777777778,8.651851851851852,4.696296296296296,4.177777777777778,295.27407407407406,58.49629629629629,53.79259259259259,58.49629629629629,27.62962962962963,11745000000,-7261000000,10.055650684931507,3.9585439838220426,18.525236593059937,20.824468085106382,1.4872736482208435,1.4872736482208435,-2.4472531176272327,-4.411300121506683,-11.452681388012618,-12.874113475177305,0.0994465730097914,0.04802043422733078,0.46511333417753575,0.03882007271497421,-11.54678007290401,51.84036488027366,27.140350877192983,0.5428082191780822,0.03337590464027246,0.3356164383561644,0.38928210313447925,0,0.006711338462839266,-0.11041009463722397,-0.023592854735422986,-0.7070707070707071,0.013818672059319177,106.71119440970416,0.1048126084005731,0.01242804396633362,-312.40555555555557,44587000000,7262000000,-41255000000,0.46511333417753575,6098500000,0,0,768.0131445904955,0,0,0.47525228255646323,0,0,0.1479042674433329,-0.5185185185185185
2022,75.20914611816406,0.09160234874799067,,Financial Services,CMA,FY,26.194999923023467,8.53153506264856,4.729035073822573,4.121228058064812,188.64995558598477,38.40302620293848,33.69622797115582,38.40302620293848,47.742499859704054,9018816594.55,8971816594.55,7.835635616463943,2.552013750580079,14.136076167006268,16.220893155665465,1.7407482328797528,1.7407482328797528,2.5387143731041313,5.057393796251409,14.062408455407523,16.136360781564747,0.12762206526026268,0.06164888643328067,1.2034356301872224,0.07300423857808584,-0.02649379932356257,9.741824976642791,8.16504854368932,0.5543006081668115,0.04169061384696678,0.3266724587315378,0.35059422750424446,0,0.007435074819099361,-0.12852664576802508,-0.02320316921335597,-0.8913043478260869,0.01697792869269949,85.8593454590068,0.11489496508489963,0.013577756544101167,-364.1783212982479,28070000000,4546000000,-48944000000,1.2034356301872224,6883000000,0,0,776.9934917940011,0,0,0.4697594044928885,0,0,0.22215788457826674,-0.6078070157577601
2018,31.446626964368317,0.10136351385010811,-0.16864656144625878,Consumer Defensive,CAG,FY,19.654122307501858,2.0014855162168854,2.3624659569200297,1.7395394899727656,0.31691012626887843,9.101757860856647,-5.026986877940084,9.101757860856647,9.849715276058431,15109898999.999998,18797699000,18.691117021276593,1.903417482332489,15.835148815761894,21.505691716481635,4.1101950383548225,4.1101950383548225,2.367975385158031,13.402993939393939,19.69995703206875,26.75448192428124,0.053501350339932786,0.04649931809603758,1.0379739948860236,0.3672746522931806,2.6294474153297682,0.8299375053505693,6.36,1.1964890282131662,0.022654023034832993,0.42342899554675906,0.16603051031077182,0,0.5570046681745994,-0.263676378117795,-0.03169444339468148,-0.978988326848249,0.004774321958101861,20.24557536695116,0.11041448326774897,0.17564367191743618,-13.789056697202279,-397300000,-2030400000,-4694000000,1.0379739948860236,573000000,844100000,965650000,26.78772533162012,59.78583446695783,65.14310517648744,13.625643666323377,6.105125122937384,5.603048841640758,0.21990098471247485,-0.6229264669472642
