years,value,prev_return,exp_return,Sector,Name,period,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,netIncomePerEBT,ebtPerEbit,ebitPerRevenue,debtRatio,debtEquityRatio,longTermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,receivablesTurnover,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatio,dividendPaidAndCapexCoverageRatio,dividendPayoutRatio,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue
2021,617.9685028076171,0.9174061552922823,-0.3554889913608579,Technology,EPAM,FY,2.972780383013282,2.902141678237405,1.894926776872495,74.68013998399209,0,74.68013998399209,3.651473992197921,71.02866599179417,0.3391160636739838,0.14430420973757258,0.14192963335093067,0.12816219921322866,0.09700182979872214,0.13670762627557068,0.19365876233405988,0.19650504546151235,0.9029981702012778,0.9835446492450896,0.14430420973757258,0.06788038352340056,0.09615872514240384,0.06504738637213724,0.08772335879542599,314.02200347423275,2.39309159635053,1.4165907755847433,4.8875109242998045,99.9596329536765,0,8.92554179382741,1.0666766575074498,10.12770964944878,8.154624763320415,25.59899842508538,0,0.15228980049726673,0.8051795564423835,2.39309159635053,8.655621427059073,-5.132931543214859,-5.132931543214859,0,15.18817890352565,15.18817890352565,10.051445061711313,78.42753263767202,81.9718894984224,66.00208962708382,66.00208962708382,1.737243836162773,10.051445061711313,0,57.77666098390287,15.18817890352565
2022,398.2875030517578,-0.3554889913608579,,Technology,EPAM,FY,3.691889982782217,3.5777482564820873,2.2493407876834657,70.55539849333574,0,70.55539849333574,3.4262446363096166,67.12915385702613,0.3187795381182408,0.11875686312386806,0.10513777235383437,0.08693103692707813,0.1731702604986023,0.10461466779375483,0.1397339758496661,0.1756665607903686,0.8268297395013977,0.8853195477567605,0.11875686312386806,0.04819549076600008,0.06437479260590925,0.047598921416881004,0.06048132016383103,57.15371571072319,2.4019086754682415,1.335701568399071,5.173239862495792,106.53063010501751,0,11.429466891558958,1.203421372754481,8.100818627707667,6.676004957148592,30.400586479551762,0,0.09619337832129597,0.8241148535673039,2.4019086754682415,10.739916228912596,-5.685528427397126,-5.685528427397126,0,6.255656224887824,6.255656224887824,3.891757026035619,44.768326291796214,49.09223436825936,40.45763953768983,40.45763953768983,-3.1785511667175332,3.891757026035619,0,23.332129516539784,6.255656224887824
2018,24.520598762913753,-0.2609002471030044,-0.5468860968529032,Energy,EQT,FY,0.8363750164012669,0.584671938568179,0.0014806787767818357,105.83789282246505,0,105.83789282246505,110.42924844591244,-4.5913556234473845,0.26037974782427126,-0.5875959234525201,-0.6497324266925988,-0.4738915717416745,0.22632871378757152,-0.10832154516618227,-0.20482944826212338,-0.15153392267584243,0.7293642002046512,1.1057469951033443,-0.5875959234525201,0.26530040715505715,0.5016669208135731,0.3042933182318576,0.33407336464585635,-12.155609325727863,0.5413952571233466,1.8909391289413646,3.448670322757271,3.305283746260165,0,0.2723275603683816,0.2285787543510691,11.40625143715604,-2.89542102923367,0.013363634970030507,-0.01397819090355026,0.6283715324042708,-0.2538450993462928,0.5413952571233466,4.225295645877994,-0.7975466830163965,-0.8043089523831143,-0.01397819090355026,0.449799459383446,0.449799459383446,1.04065198917588,-2.195970663397144,-6.5240943577036905,1.6561093803758817,1.6561093803758817,0.010617155459667875,1.04065198917588,0.006365381439989797,-11.516914193023709,0.449799459383446
2019,11.110624212967721,-0.5468860968529032,0.278150350414172,Energy,EQT,FY,1.3038505032312901,0.6787552139754603,0.003414810290793832,87.30971748884824,85.20697759794186,172.5166950867901,83.50569832569133,89.01099676109877,0.083859099701304,0.005923128544547811,-0.4204037001460584,-0.32151137544903086,0.23523181328487341,-0.06495189834223385,-0.12461712997323021,0.0012888152742962752,0.7647681867151266,-70.9766294930466,0.005923128544547811,0.28294703445282465,0.5428640004047498,0.34991034367010926,0.35185473266751743,0.11261890108130557,0.34793287880624163,1.918606432665265,4.180519769138185,4.370959195819386,4.283686738922851,0.23520487462775813,0.20202052960496464,7.257571303710497,0.9769108061816799,0.018013568967747244,-0.025092187493605197,0.48730976222745637,0.1346057469228343,0.34793287880624163,40.93068081343944,-1.1555426864047267,-1.178079385468498,-0.025092187493605197,0.28367541557233944,0.28367541557233944,0.7318807058173349,-2.2763757730039003,11.157620461384152,1.5018798360861132,1.5018798360861132,-0.05138276023053424,0.7318807058173349,0.011022867046460261,138.61759752152406,0.28367541557233944
2020,14.201048231124878,0.278150350414172,0.3663726626307442,Energy,EQT,FY,0.689652237561067,0.33179680097139713,0.010332442507702521,77.78124740232653,58.5528294915279,136.33407689385444,78.37005053554776,57.96402635830668,-0.23582793988931888,-0.3301197722585588,-0.47619807050927376,-0.363787501001456,0.2360584312901549,-0.05339540427071148,-0.10450036952040141,-0.05367640102087577,0.7639415687098451,1.44250090581155,-0.3301197722585588,0.2733032529550248,0.5348829419874579,0.34016252755044096,0.348484517845289,-3.236231563421829,0.31061717372289904,1.9571041917875711,4.692647806379644,4.657391407887892,6.2336867948083095,0.16560266072598154,0.14677635741668257,5.900323468130907,1.9011714688062376,0.06987372080441114,-0.007924100680744766,0.57838118819888,0.3222147868798941,0.31061717372289904,8.582597047414394,-1.4753936507357774,-1.4863232637422226,-0.007924100680744766,0.35789360729705555,0.35789360729705555,1.24590201566296,-3.4248070981910224,6.685351746826246,2.1541191883207467,2.1541191883207467,-0.15189653704013886,1.24590201566296,0.0023137363517292007,-9.864748788241727,0.35789360729705555
2021,19.403924083709718,0.3663726626307442,1.309052631591364,Energy,EQT,FY,0.4501356351981065,0.3055003463466092,0.02243290629390231,76.74034406454663,0,76.74034406454663,127.1613031867156,-50.420959122168966,0.43796611111151723,0.140625948048929,-0.23227434516547132,-0.16879573022520708,0.27329154623185925,-0.053431400408045615,-0.11511141053810414,0.05819733594591273,0.7267084537681407,-1.6517175413790235,0.140625948048929,0.25514300941881546,0.5496743764686012,0.3111413072407271,0.3547031459094003,3.1137282577378658,0.3015519391167091,2.1543775693509772,4.756298716787051,2.8703700799924734,0,0.37134126213697655,0.31654473923456183,5.143776531887771,1.8791074146957265,0.3526126560972289,0,0.24305843599979823,0.36531668960472746,0.3015519391167091,1.6914186180906567,-1.5755889332858193,-1.5755889332858193,0,0.7028152733424019,0.7028152733424019,1.0305860793703823,-6.105522207199052,11.606574392412567,4.24007533468716,4.24007533468716,-1.6179633849077475,1.0305860793703823,0,4.602194989755167,0.7028152733424019
2022,44.80468196868897,1.309052631591364,,Energy,EQT,FY,1.075617460921382,0.8216913793934977,0.3908247638134944,48.34616655935475,72.60553516802348,120.95170172737824,140.73053042381062,-19.778828696432385,0.6636149831215389,0.4978886170649755,0.19230169527571941,0.14587103905146204,0.23717351805100695,0.07811957568807239,0.15851144518215035,0.3191873926018283,0.7585530582157075,0.386234367857869,0.4978886170649755,0.2520702537802726,0.5114725708916396,0.31994611659872807,0.3383935512570463,24.212120726602713,0.6064593849868071,2.0290873802883764,7.549719573978804,2.59360921116975,5.027164928339392,0.6682665529387279,0.5355386250488864,9.365163438256658,5.508053009339329,3.9417697163611205,0.11498194487186364,0.2854516255799436,0.5881427532635418,0.6064593849868071,7.56538690755565,-2.428025749028246,-2.8320640817463945,0.11498194487186365,1.120497021519137,1.120497021519137,1.0311436161296856,7.068871400620565,6.1419161984531785,3.6123235032721985,3.6123235032721985,0.03018644844523375,1.0311436161296856,0.01626595510872776,2.1663281160809804,1.120497021519137
2018,128.3587602314196,0.22115577570591172,0.07704446819303934,Industrials,EFX,FY,1.091315916787615,0.8378084179970973,0.27044025157232704,50.18068051932827,0,50.18068051932827,44.52270202721466,5.657978492113607,0.5778552797397497,0.13129744145833944,0.10442249640983559,0.08786377890448697,0.140331181588549,0.041911312419616396,0.09646695411545145,0.07081436519979767,0.8414257648049397,0.7953125,0.13129744145833944,0.36843650394229155,0.8480275435999742,0.4584204656350202,0.4588825239844689,4.328502415458937,0.2550559666097515,2.301692515605895,7.27371562566617,8.198064883323848,0,4.4614278242677825,0.4770032992227255,5.583056478405315,2.909468438538206,1.8571428571428572,0.6267511674449633,0.19700477711673164,0.521124665278191,0.2550559666097515,137.18367346938774,-2.0882261571916745,-5.016417910447761,0.6267511674449633,3.6079709118990926,3.6079709118990926,3.286202631810322,37.401107404936624,32.009283471310304,16.680827134781314,16.680827134781314,-0.7620475633755838,3.286202631810322,0.01675755641829572,17.71288611544462,3.6079709118990926
2019,138.2480926513672,0.07704446819303934,0.14069192195736369,Industrials,EFX,FY,0.8898535795747186,0.6867780148627768,0.295268927967037,55.3701961455126,21.131957678911743,76.50215382442434,35.57172898731682,40.93042483710752,0.5661706009807276,-0.09160109476565173,-0.12344623104116775,-0.11198540312464363,0.0928406466512702,-0.04966493867745606,-0.1523307220972621,-0.04905418403334402,0.9071593533487298,1.347650171179583,-0.09160109476565173,0.42768997344797066,1.311797099201117,0.5672110236484785,0.5674360866939543,-2.8764547896150403,0.09276887601253474,3.067168230822927,6.59199398609284,10.260957518543494,17.272417707150964,3.7015618404390036,0.44349475281325074,2.595533498759305,-0.7096774193548387,3.3192721257237388,-0.48039714867617106,0.08946288060212111,-0.2734225621414914,0.09276887601253474,101.2258064516129,-0.7852852852852853,-1.4879089615931722,-0.48039714867617106,6.56965330024044,6.56965330024044,4.829657885733835,-43.12756619144603,-197.44181818181818,53.98504780114723,53.98504780114723,0.18708648051690002,4.829657885733835,0.011138981192299545,1245.113,6.56965330024044
2020,157.69848251342773,0.14069192195736369,0.6845836730692192,Industrials,EFX,FY,0.9980669324634529,0.9323829084611976,0.678426160847328,55.76474863718958,21.869747899159663,77.63449653634925,33.424369747899156,44.21012678845009,0.5790672319806178,0.16392489400363416,0.1660084797092671,0.12600847970926712,0.23204903677758318,0.054110572421398696,0.16415225350334553,0.09491211581354245,0.7590484530064214,1.012710611882944,0.16392489400363416,0.4555234191306519,1.3818962252240878,0.508447492126534,0.5801664281549795,4.778248587570621,0.21610634021560388,3.033644741825527,6.5453536314621,10.920175989943433,16.689721421709894,3.622520624890293,0.4294200878087351,7.787654320987654,4.3201646090534975,13.865020576131688,0.3643530090367237,0.22924288310115082,0.5547452969773832,0.21610634021560388,0.8593224956861321,-2.245905530500831,-4.081967213114754,0.3643530090367237,7.394918570887515,7.394918570887515,5.6765741974560875,45.049144395308595,44.637188035816344,24.762270133164236,24.762270133164236,0.19443521817364268,5.6765741974560875,0.008087900756549492,21.306467661691542,7.394918570887515
2021,265.6562889099121,0.6845836730692192,-0.3137968918763421,Industrials,EFX,FY,0.48919827172347574,0.41561558940339544,0.09806659974686859,53.93570137492638,19.97374930587107,73.90945068079745,38.98934827603615,34.9201024047613,0.5976969475415829,0.231117610024574,0.19277402059343204,0.1511403562216942,0.21144121365360302,0.06740392540463187,0.20762191719674145,0.13006308859833593,0.7840286557100716,0.8340949033391916,0.231117610024574,0.47957141175085366,1.477206784957036,0.5549816872555714,0.596319529692656,7.815934065934066,0.2520916353472209,3.08026447941078,6.767317207256735,9.361531190926277,18.273985239852397,3.7418496846264913,0.44596907860772217,10.949958982772765,7.102543068088597,1.8433141919606235,0.25530771298038163,0.27108592782144236,0.6486364998501648,0.2520916353472209,1.6183317167798255,-2.846055437100213,-4.784229390681004,0.25530771298038163,9.95734320946323,9.95734320946323,7.2485430248380345,47.95901773716743,41.22326287826288,26.738912945759665,26.738912945759665,1.1216644585523312,7.2485430248380345,0.005323455838473573,25.726647942438778,9.95734320946323
2022,182.29417114257814,-0.3137968918763421,,Industrials,EFX,FY,0.6800813815005955,0.5671397379912664,0.14152441445017863,61.11836710788333,22.514927429726253,83.63329453760959,42.04574683079184,41.587547706817745,0.574948264417633,0.2061614150169849,0.181504041232283,0.13591816016555386,0.2468538238141336,0.06028801773482625,0.17596360419562745,0.11077659005318535,0.7488437130257072,0.8803977272727272,0.2061614150169849,0.5011560543475437,1.462732212814356,0.5491990064489666,0.5939469200927769,5.770491803278689,0.13082093549669102,2.9187160369013014,5.972018188177684,8.681020733652312,16.211466865227102,3.2275992438563326,0.4435611669654223,6.185457516339869,1.0833333333333333,2.3300653594771243,0.27449008905486927,0.14780758267931748,0.17514198916919826,0.13082093549669102,0.7827750206782464,-1.2123298638911129,-1.7468850946008307,0.27449008905486927,6.012805257171743,6.012805257171743,4.6444230994494555,34.17073254811836,179.40923076923076,31.42208955223881,31.42208955223881,-4.97102799688103,4.6444230994494555,0.008032900338567203,17.422092428477963,6.012805257171743
2018,401.1303598504317,-0.017830660274357202,0.30622291446595784,Real Estate,EQIX,FY,1.0004032814303752,0.898610692172182,0.4000908208262187,54.030666327001015,0,54.030666327001015,13.585891248236887,40.444775078764124,0.48626720198183865,0.19271484214025641,0.08538397926987921,0.07203941751546931,0.15628882453733853,0.018047198472998134,0.050608793482008384,0.05218396132702908,0.8437111754626615,0.44305865766030306,0.19271484214025641,0.48859456019910064,1.3701395942725028,0.5666368144456656,0.5780839228134397,1.8741979773496915,0.18353542767368083,2.8042465182464897,6.755422888753025,26.866106413693544,0,0.4599714130756157,0.2505183841765904,22.755687586958974,-3.519071434838742,7.654971859762594,2.0215733018756894,0.3579554125734918,-0.15464579663395808,0.18353542767368083,4.01667802430239,-9.952011314672895,3.2640862163824074,2.0215733018756894,3.896079406267579,3.896079406267579,5.545899669023163,76.98423807816422,-100.18551954065568,15.493269480551673,15.493269480551673,1.5049176863021778,5.545899669023163,0.02625957406791674,17.14563619690186,3.896079406267579
2019,523.9656677246094,0.30622291446595784,0.37757821559134563,Real Estate,EQIX,FY,1.3312318715321594,1.1905635343856398,0.8664020839135756,45.222506085787124,0,45.222506085787124,98.80565471869457,-53.583148632907445,0.49476568371166496,0.21028435098720996,0.12451987903936254,0.09123287080152603,0.2676188317304291,0.021174086289878227,0.05739991127305074,0.053633726208918736,0.7326771556908275,0.5921500028641512,0.21028435098720996,0.5544325484657915,1.5029871255432037,0.5827196609725808,0.6004773697016209,2.438336488188057,0.14997218776371482,2.7108565860756606,8.071202407659468,3.6941205545287477,0,0.40814167105225696,0.23208834824393199,23.683479914428332,-1.0315307820299502,22.34298787734728,1.6477761355798601,0.3582664226358919,-0.043554865490925,0.14997218776371482,2.116159342106381,-0.9582629846007806,-1.6026997877520295,1.6477761355798601,5.555333876433358,5.555333876433358,8.829788175054926,96.78296975071437,-565.8580530687959,24.64587138836811,24.64587138836811,3.057006906608771,8.829788175054926,0.017025476071090468,24.147744631009438,5.555333876433358
2020,721.8036895751953,0.37757821559134563,0.13988498838492447,Real Estate,EQIX,FY,1.284140026741218,1.1115298407682022,0.7802936671933877,41.17821405024052,0,41.17821405024052,104.1051510242849,-62.926936974044374,0.48748571528595686,0.17553056616229434,0.08605836915451998,0.06164444877882887,0.28311492081941014,0.01367577108796934,0.03477312556681463,0.04214731264888916,0.7163097486561093,0.4902756883661561,0.17553056616229434,0.5149384546475199,1.309324309939037,0.557524869385638,0.5669729038506511,2.5904454493118734,0.16589598227838884,2.54268116533515,8.86391040550405,3.5060705105250314,0,0.37542195928800476,0.22184919094720074,26.33781071835804,0.311539338654504,18.351208665906498,2.563526125205191,0.3850643781116921,0.011828596612905041,0.16589598227838884,4.404996519599897,-1.011970187127821,-1.730762919320141,2.563526125205191,5.889943264935036,5.889943264935036,10.441463054790786,169.38204918099285,2292.4231754629964,27.11614900862662,27.11614900862662,-5.642948931278379,10.441463054790786,0.015134579712552304,29.307397031021196,5.889943264935036
